job_title,experience_level,employment_type,work_models,salary,company_size
Data Engineer,Mid-level,Full-time,Remote,148100,Medium
Data Engineer,Mid-level,Full-time,Remote,98700,Medium
Data Scientist,Senior-level,Full-time,Remote,140032,Medium
Data Scientist,Senior-level,Full-time,Remote,100022,Medium
BI Developer,Mid-level,Full-time,On-site,120000,Medium
BI Developer,Mid-level,Full-time,On-site,62100,Medium
Research Analyst,Entry-level,Full-time,On-site,250000,Medium
Research Analyst,Entry-level,Full-time,On-site,150000,Medium
Data Engineer,Executive-level,Full-time,Remote,219650,Medium
Data Engineer,Executive-level,Full-time,Remote,136000,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,87800,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,76300,Medium
Data Scientist,Mid-level,Full-time,Remote,148100,Medium
Data Scientist,Mid-level,Full-time,Remote,98700,Medium
Data Engineer,Mid-level,Full-time,On-site,145500,Medium
Data Engineer,Mid-level,Full-time,On-site,93000,Medium
Data Scientist,Mid-level,Full-time,On-site,85000,Medium
Data Scientist,Mid-level,Full-time,On-site,75000,Medium
Data Scientist,Mid-level,Full-time,On-site,105000,Medium
Data Scientist,Mid-level,Full-time,On-site,70000,Medium
Data Engineer,Senior-level,Full-time,On-site,204662,Medium
Data Engineer,Senior-level,Full-time,On-site,184662,Medium
Data Scientist,Mid-level,Full-time,On-site,179000,Medium
Data Scientist,Mid-level,Full-time,On-site,112000,Medium
Data Analyst,Entry-level,Full-time,On-site,115000,Medium
Data Analyst,Entry-level,Full-time,On-site,85000,Medium
Director of Data Science,Executive-level,Full-time,On-site,225000,Medium
Director of Data Science,Executive-level,Full-time,On-site,180000,Medium
MLOps Engineer,Senior-level,Full-time,On-site,175000,Medium
MLOps Engineer,Senior-level,Full-time,On-site,110000,Medium
Machine Learning Scientist,Senior-level,Full-time,On-site,252000,Medium
Machine Learning Scientist,Senior-level,Full-time,On-site,157500,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,267900,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,234700,Medium
Data Analyst,Entry-level,Full-time,On-site,195500,Medium
Data Analyst,Entry-level,Full-time,On-site,68000,Medium
Data Science Manager,Senior-level,Full-time,Remote,120000,Medium
Data Science Manager,Senior-level,Full-time,Remote,90000,Medium
Data Scientist,Senior-level,Full-time,On-site,242000,Medium
Data Scientist,Senior-level,Full-time,On-site,106200,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,215000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,146900,Medium
Applied Scientist,Mid-level,Full-time,On-site,222200,Large
Applied Scientist,Mid-level,Full-time,On-site,136000,Large
Data Scientist,Mid-level,Full-time,Remote,246000,Medium
Data Scientist,Mid-level,Full-time,Remote,190000,Medium
Data Engineer,Mid-level,Full-time,Remote,165000,Medium
Data Engineer,Mid-level,Full-time,Remote,129600,Medium
Business Intelligence Analyst,Mid-level,Full-time,On-site,200400,Medium
Business Intelligence Analyst,Mid-level,Full-time,On-site,126900,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,322000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,230000,Medium
Data Analyst,Senior-level,Full-time,On-site,175520,Medium
Data Analyst,Senior-level,Full-time,On-site,103786,Medium
Analytics Engineer,Senior-level,Full-time,Remote,170000,Medium
Analytics Engineer,Senior-level,Full-time,Remote,130000,Medium
Data Scientist,Senior-level,Full-time,On-site,195000,Medium
Data Scientist,Senior-level,Full-time,On-site,146900,Medium
Data Scientist,Mid-level,Full-time,Remote,170400,Medium
Data Scientist,Mid-level,Full-time,Remote,106500,Medium
Data Analyst,Mid-level,Full-time,On-site,134500,Medium
Data Analyst,Mid-level,Full-time,On-site,100000,Medium
Data Engineer,Mid-level,Full-time,On-site,159000,Medium
Data Engineer,Mid-level,Full-time,On-site,111300,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,173400,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,99100,Medium
Business Intelligence Engineer,Senior-level,Full-time,On-site,185000,Large
Business Intelligence Engineer,Senior-level,Full-time,On-site,79600,Large
Data Science,Executive-level,Full-time,Remote,323700,Medium
Data Science,Executive-level,Full-time,Remote,190500,Medium
Data Scientist,Senior-level,Full-time,On-site,218000,Medium
Data Scientist,Senior-level,Full-time,On-site,145000,Medium
Research Scientist,Senior-level,Full-time,On-site,258100,Medium
Research Scientist,Senior-level,Full-time,On-site,151900,Medium
Data Science,Mid-level,Full-time,On-site,179000,Medium
Data Science,Mid-level,Full-time,On-site,106500,Medium
Data Scientist,Mid-level,Full-time,On-site,212800,Large
Data Scientist,Mid-level,Full-time,On-site,111600,Large
Machine Learning Engineer,Senior-level,Full-time,Remote,166700,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,150000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,220000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,170000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,418000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,141000,Medium
Research Engineer,Senior-level,Full-time,On-site,440000,Medium
Research Engineer,Senior-level,Full-time,On-site,100000,Medium
Managing Director Data Science,Executive-level,Full-time,Hybrid,260000,Large
Data Scientist,Executive-level,Full-time,On-site,246100,Medium
Data Scientist,Executive-level,Full-time,On-site,181900,Medium
Machine Learning Engineer,Entry-level,Full-time,On-site,91000,Medium
Machine Learning Engineer,Entry-level,Full-time,On-site,70000,Medium
Business Intelligence Developer,Executive-level,Full-time,On-site,177500,Medium
Business Intelligence Developer,Executive-level,Full-time,On-site,117500,Medium
Business Intelligence Analyst,Entry-level,Full-time,On-site,95000,Medium
Business Intelligence Analyst,Entry-level,Full-time,On-site,70000,Medium
Data Science,Senior-level,Full-time,On-site,258720,Medium
Data Science,Senior-level,Full-time,On-site,160000,Medium
BI Developer,Mid-level,Full-time,On-site,154800,Medium
BI Developer,Mid-level,Full-time,On-site,76300,Medium
AI Engineer,Mid-level,Full-time,On-site,170200,Medium
AI Engineer,Mid-level,Full-time,On-site,83900,Medium
Data Engineer,Senior-level,Full-time,Remote,205000,Medium
Data Engineer,Senior-level,Full-time,Remote,165000,Medium
Data Scientist,Mid-level,Full-time,On-site,250000,Medium
Data Scientist,Mid-level,Full-time,On-site,131600,Medium
Data Scientist,Senior-level,Full-time,On-site,240000,Medium
Data Scientist,Senior-level,Full-time,On-site,187000,Medium
Data Engineer,Mid-level,Full-time,On-site,134600,Medium
Data Engineer,Mid-level,Full-time,On-site,103000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,324000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,159000,Medium
Data Engineer,Senior-level,Full-time,On-site,385000,Medium
Data Engineer,Senior-level,Full-time,On-site,245000,Medium
Data Scientist,Mid-level,Full-time,On-site,385000,Medium
Data Scientist,Mid-level,Full-time,On-site,245000,Medium
Data Engineer,Mid-level,Full-time,On-site,214300,Medium
Data Engineer,Mid-level,Full-time,On-site,108500,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,245700,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,132300,Medium
Data Specialist,Mid-level,Full-time,On-site,80000,Medium
Data Specialist,Mid-level,Full-time,On-site,73000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,263500,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,189360,Medium
